index	#1 Label	#2 String	#2 String
206	1,3,3,3,3,3,3,3	All weekend ppl will be talking about the "robbery" instead of the shooting bc #Ferguson PD didn't release any info about the shooting.|||||@AngryBlackLady He did that quickly &amp; made moves. Like ok lets get that wheel spinning.|||||@AngryBlackLady Smearing the victim, tainting any jury pool, dodging out of the real questions. This is definitely a calculated smoke screen|||||@AngryBlackLady dm|||||@AngryBlackLady It smells don't it. This is the plan to get Darren Wilson off. Period.|||||@AngryBlackLady @Only4RM They're trying to skirt the situation &amp; take focus off of Darren Wilson.  Who's left over to blame?  Dead victim.|||||@AngryBlackLady Hopefully not - I'm seeing a lot of people who recognize that his involvement in the robbery is irrelevant to his execution|||||@AngryBlackLady that was their intent all along. Brown will be painted a "thug" and "deserves" what he got.
207	1,1,0,3,3,3,3,2,0,3,3,3,3,3,3,3,3,3,3,1	Photos of alleged robbery involving Michael Brown in #Ferguson (via police)|||||Photos of alleged robbery involving Michael Brown in #Ferguson (via police)|||||@NBCNews @JDBmsnbc  That guy is much fatter then Michael and older|||||@NBCNews Is there a police report we can see? Initially, the police said the victim was stopped for walking in the street.  #Ferguson|||||@NBCNews @JDBmsnbc  Here's a petition to stop militarization of police departments|||||@NBCNews Is robbery a death penalty in MO? and without a trial?|||||RT @NBCNews: Photos of alleged robbery involving Michael Brown in #Ferguson (via police)|||||@NBCNews Easy to know if this is Brown by looking at what he was wearing when he was killed.  Has there been a positive ID for this?|||||@NBCNews Now they say this? Not very believable.|||||@NBCNews: Photos of alleged robbery involving #MikeBrown in #Ferguson (via police)|||||Now police issue pix of "alleged" robbery involving Michael Brown in #Ferguson   via @NBCNews|||||@SplatsReads @NBCNews one sure way to know would be if they tested for DNA on the employees shirt...|||||.@NBCNews why are the cops releasing this? Has nothing to do with later shooting.|||||“@NBCNews: Photos of alleged robbery involving Michael Brown in #Ferguson (via police)  ” 😒😒|||||@RockRt66 @NBCNews True.  However if clothes were different or the same would do it also - I doubt that he the time to change.|||||@RockRt66 @NBCNews Even so - since when do you shoot a suspected robber if he is unarmed and cooperating?|||||@SplatsReads @NBCNews I agree it isn't robbery its simple shoplifting an assult|||||. @NBCNews Which excuses him getting shot in the street and his body left there for four hours HOW? Y'all are magpies; all you see is shiny.|||||@NBCNews It doesn't matter if it's him in this picture or not the report said he was unarmed still no reason to shoot him #Ferguson|||||@NBCNews  that is him same hat and outfit at sceen still gave no right to kill him
208	1,3,3,3,3,3,3,3,3,0,0,2,3,3,0,3,3,0,1,0,1,3,3,2,3,3,2,3	Nearly 7k blacks were murdered last yr--almost all by other blacks. A tiny % were unarmed-killed-by-cop.Where's Al, Jesse?#tcot #ferguson|||||@larryelder No profit in it.|||||@larryelder #immortalconsciousness #WuWednesday #TupacTuesday|||||@larryelder : fk yr derailment. This is about the blatant and often sanctioned murder of black men (and women) by cops.|||||@larryelder No Justice, No Peace, No $$$, for Race Hawkers!|||||@larryelder @billyraybryant Obama is the great divider. He has no love of this country. Perpetuates class war and race war.|||||@larryelder Why aren't they talking about the lack of family structure? That's where it all begins and ends.|||||@larryelder @JC7109 cops kill too many Americans, black &amp; white. While i reject the race baiting the left is doing this is still wrong|||||@larryelder There's no $$ in it for them. @KLSouth|||||@larryelder @FoolishReporter How the fuck you comparing a whole race too a single occupation of course you are gonna get a tiny % dumbass|||||@larryelder @KLSouth So I guess you are saying it is no big deal for cops to kill unarmed black kids???   WTF.|||||.@PhilSerrin Has that been proven? I haven't heard your news account. Isn't the investigation of account still ongoing? @larryelder|||||@PhilSerrin I think you missed @larryelder point. Where's the uproar over B-on-B killings &amp; shooting that stem from Chicago on daily basis?|||||@larryelder @KLSouth You are right - jury still out - but no question the kid was unarmed.  How about the choking of the guy on NY?  Murder|||||@larryelder @KLSouth I don't believe that was his "point" at all.|||||@larryelder @KLSouth Also, cops need to be held to a higher standard.|||||@larryelder @Just_a_Texan 1,800 plus black babies aborted a day. No one hates blacks like other blacks.|||||@PhilSerrin Me thinks you like to emote in suppositions. Truth is, you don't know what happened, but want to speculate. @larryelder|||||@PhilSerrin Uh Sorry. I believe it was his point. Sharpton and Jesse remain silent on Chicago crimes happening daily.  @larryelder|||||@PhilSerrin "Jury still out." Yet, you made a direct inference that was recklessly false in MO. Misrepresentation serves no one. @larryelder|||||@larryelder|||||@larryelder @aubbie2222 Al and Jesse have to go where the money can be had. If there were no Racism, they would be saying "Paper or Plastic?|||||@larryelder @TruckerBobS Black on Black crime is not what feeds them.|||||@larryelder how many of those blacks that killed blacks avoided prosecution?|||||@larryelder there is no money in black on black crime.|||||@larryelder Ferguson, MO is 70% low-income black and had no homicides all year until Mike Brown.|||||@larryelder @adagioforstring Indeed where?|||||@larryelder @adagioforstring Yet the POTUS wants 4billon for illegals.
209	1,1,0,3,3,3,3,1,3,3,2,3,1,3,1,3,3,1,3,3,3	What's so frustrating is that now we are talking about a robbery and not the killing of an unarmed kid. #ferguson|||||What's so frustrating is that now we are talking about a robbery and not the killing of an unarmed kid. #ferguson|||||@ZerlinaMaxwell smdh. This is ridiculous.|||||@ZerlinaMaxwell That is probably the whole point of releasing the video. Very sad/devious.|||||@ZerlinaMaxwell We would rather talk about anything other than a white police officer murdering an unarmed black kid. #Ferguson|||||@ZerlinaMaxwell why not wait for the investigation &amp; try your best to be objective.|||||@ZerlinaMaxwell &amp; that a jaywalking incidence lead to a dead 18 y/o is beyond all understanding.|||||@ZerlinaMaxwell agreed - but it can't be ignored|||||@ZerlinaMaxwell so quit talking about a robbery, stick to the subject|||||@ZerlinaMaxwell bring up the @MSNBCRachel story about the whistleblower n "Black Day" spks to racial attitude in dept .|||||@ZerlinaMaxwell @TopCat_TC You're CHOOSING to talk about a "robbery" based on a tape that only shows a confrontation not a crime. So stop!|||||@ZerlinaMaxwell @DaleF3    THAT WAS THEIR PLAN &amp; ITS WORKING WITH THE SHEEP!!|||||@ZerlinaMaxwell This is exactly what the #Ferguson PD &amp; their PR machine want-focus off their indefensible behavior.|||||@ZerlinaMaxwell Not surprising. #MichaelBrown|||||@ZerlinaMaxwell exactly.|||||@ZerlinaMaxwell What's more frustrating even than that is that this is exactly why they did it that way, and everyone is falling for it.|||||@ZerlinaMaxwell Sadly, that was the intention. Misdirection. #Ferguson|||||@ZerlinaMaxwell #THOMASJACKSONMUSTGO needs to #TRENDNOW  #FERGUSON Brown family says, #DEVIANT #OUTRAGED They're right|||||@ZerlinaMaxwell I'm not talking abt the robbery. Reasonable people know that stealing cigars isn't justification 4 execution #DONTSHOOT|||||@ZerlinaMaxwell criminalizing black people, the most effective distraction tactic in American history... :(|||||@ZerlinaMaxwell @BJHare Classic deflection and character assassination to cover up a crime.Until a court finds guilty, he's innocent!
210	1,1,2,3,3,1,3,1,3,0,2,2,3,3,1,2,3,3,3,3,3,3,0,3,2,1,3,3,3,2,3,3,3,1,3,0,3,3,3,3	Police reports released this morning indicate Mike Brown was a suspect in a "strong-armed" robbery in #Ferguson|||||Police reports released this morning indicate Mike Brown was a suspect in a "strong-armed" robbery in #Ferguson|||||@DIANAZOGA @AntonioFrench Antonio French tweeted this vid 4 days ago. Is this the same robbery and market?|||||@DIANAZOGA @AntonioFrench WHEN?  he became a suspect upon the firing of the fatal shot?|||||It's a little scary to know they shoot and kill people suspected of crimes in Ferguson. @DIANAZOGA @AntonioFrench|||||“@DIANAZOGA: Police reports released this morning indicate Mike Brown was a suspect in a "strong-armed" robbery in #Ferguson” 😒😒😒😒😒|||||@DIANAZOGA @jonswaine so it was fine to just execute him in the street then|||||@bonedog84 @DIANAZOGA @AntonioFrench exactly|||||@DIANAZOGA @AntonioFrench "strong-armed"? But not actually "armed." Soooo, the use of deadly force against him? How can it be justified?|||||@DIANAZOGA @AntonioFrench that's bs. there's always a "history" when the African Americans gets killed.|||||@DIANAZOGA @AntonioFrench How were the police so quick to indicate Mike Brown if all of this took place in a matter of minutes?|||||@DIANAZOGA @AntonioFrench Ironic since all the i witnesses say the officer was white. Now it is the black officer Darren Wilson who shot??|||||@DIANAZOGA wait a min, I thought they said he was a good boy?|||||“@DIANAZOGA: Police reports released this morning indicate Mike Brown was a suspect in a "strong-armed" robbery in #Ferguson”So kill him?|||||“@DIANAZOGA: Police reports released this morning indicate Mike Brown was a suspect in a "strong-armed" robbery in #Ferguson” #VictimOnTrial|||||@DIANAZOGA @j03_2 Indicate? If he was a suspect why did the police stop his car next to him and tell him to "get the f#ck on the sidewalk" ?|||||@DIANAZOGA @JLa_NYC All "strong-armed" means is physical force was used; term is being used deliberately so people get confused. #Ferguson|||||@DIANAZOGA @AntonioFrench Fuck that.  Where is the report?  Why was he unarmed?  No.  We demand justice.  #FixThePolice|||||@IamLaurenGill @DIANAZOGA old saying "there's always two sides to a story"|||||@bonedog84 @DIANAZOGA @AntonioFrench We will not rest until there is Justice here.  Even if true, Mike Brown did not deserve execution.|||||@DIANAZOGA @AntonioFrench A pack of cigarettes = strong armed robbery.... You guys are getting ready to stir the pot again.|||||@Sbragg420 @DIANAZOGA how many times do innocent "Black men" fit the description tho?|||||@DIANAZOGA This would be more believable if they'd said it a week ago. No one believes it now. NO ONE. #Ferguson @AntonioFrench|||||@Sbragg420 @DIANAZOGA and unfortunately we'll never hear the other side of the story because he's dead|||||@HaX_FR0ST @DIANAZOGA @AntonioFrench So they're claiming a BLACK cop killed #MikeBrown? ?|||||@enjen99 @DIANAZOGA oh yes. Clear that something occurred, death still not necessarily the right result.|||||@DIANAZOGA @AntonioFrench  #whitesupremacy attacks victim, leaves perp unexamined #nojusticenopeace|||||@IamLaurenGill @DIANAZOGA 9 times out 10!|||||Wait... “@DIANAZOGA: Police reports released this morning indicate Mike Brown was a suspect in a "strong-armed" robbery in #Ferguson”|||||@Princetngirl818 all there is a still picture of a black man walking is that what counts as evidence were they on his person?|||||@Sbragg420 @DIANAZOGA that's problematic.|||||@JLa_NYC @DIANAZOGA "Strong armed" is being used to obfuscate; sounds like the perp was armed, which he wasn't, &amp; the crime was SHOPLIFTING.|||||@DIANAZOGA @AntonioFrench  Even IF he did IF; he was still UNARMED &amp; shot MULTIPLE times. Does it JUSTIFY his killing NO!.#Ferguson|||||@IamLaurenGill @DIANAZOGA Exactly|||||@HaX_FR0ST @DIANAZOGA @AntonioFrench I haven't seen anyone say he was black. It is a somewhat common name.|||||.@EvilLiberal666 GOOD POINT. #walkingonsidewalkwhileblack cc  @DIANAZOGA|||||@Shirking_Violet @DIANAZOGA @AntonioFrench that is MY ERROR. There is no report confirming Darren Wilson is black. I retract my tweet.|||||@stljv @AntonioFrench I retract my previous tweet. Darren Wilson's race is NOT CONFIRMED. I apologize.|||||@DIANAZOGA @blackrepublican Fit description would be more accurate.|||||“@DIANAZOGA: Police reports  indicate Mike Brown was a suspect in a "strong-armed" robbery in #Ferguson” Oh, please, of course it did💩
211	1,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3	In 2009, #Ferguson police beat a man and charged him for bleeding on them:|||||In 2009, #Ferguson police beat a man and charged him for bleeding on them:|||||“@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ”  bloods a pain to get out|||||Shocker “@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ”|||||“@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ”|||||YO?!?! RT @ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them:|||||“@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ” @daveyxdave|||||Kanye would do this “@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them.|||||@Chill_Davon that's way OC bruh lol|||||@daveyxdave at least we know it really happened lol|||||“@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ” SMH.|||||@Chill_Davon yeah I'm hip lol I can't call that one fluke|||||Wow. “@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ”|||||“@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ”oh|||||@ComplexMag Pretty simple 2 see that #FergusonPoliceDepartment is #RACIST, they have shown that 2 the whole world! #BlackLivesMatter|||||“@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ”|||||Tbey been fuckin niggas up “@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ”|||||This. “@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ”|||||jesus RT @_ThisIsImani: Wow. “@ComplexMag: In 2009, #Ferguson police beat a man &amp; charged him for bleeding on them: ”|||||“@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ” still trust them??????????|||||@ComplexMag you see this @rodimusprime?|||||“@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ” read this @DV_Skywalker|||||what? "@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ”|||||@TreySchulte @ComplexMag I saw this....Its impressive how bold their police are|||||This right here smh “@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ”|||||“@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: ” WTF BRUH
212	1,3,0,1,1,0,0,1,1,3,2,3,3,0,3,3,3,2,3,2,3,3,3,3,3,3,3,1,2,3,1,3,3,3,1,1,3,1,3,3,1,3,3,3,3,3,2,0,3,0,1,3,3,3,3	New link: #Ferguson police release video they say shows a robbery involving #MichaelBrown:|||||@CNNVideo You guys are LATE with that video. It's been circulating for damn near 3 hours now.|||||@CNNVideo where is the robbery? All I see is a confrontation.|||||@CNNVideo oh please CNN cut the bullshit😒😒 them dirty ass cops will say anything|||||@CNNVideo wheres the money if he robbed the place looks like a soda in that persons hand😴😴😴😴|||||Doesn't matter. Cop still murdered him. We won't be distracted. @CNNVideo @Mofochronicles|||||@CNNVideo @CNN Nothing in that video provides concrete evidence of anything,much less any kind of justification for cops murdering anyone.|||||@kingpin7666 @CNNVideo smh|||||@BrwnSkinGirly @CNNVideo he robbed swishers supposedly|||||@BrwnSkinGirly @CNNVideo so robbery can only be with money?Every time a black kid gets shot, all the black people say"He wasnt in the wrong"|||||“@TheSabber: @BrwnSkinGirly @CNNVideo he robbed swishers supposedly” smh|||||@KoszikMeows @CNNVideo so they killed him for stealing chips and juice gtfoh😒 point is he was unarmed 😒😴😒|||||@BrwnSkinGirly @CNNVideo word, took a bullet for some swishers -.- we'll never know the whole story though|||||@BrwnSkinGirly @CNNVideo You do realize he didnt get shot because of that robbery? He was shot during protests and riots.|||||“@TheSabber:  @CNNVideo word, took a bullet for some swishers we'll never know the whole story though” exactly they looking for an excuse|||||@BrwnSkinGirly @CNNVideo People act like he was shot because he was black, but if it was a white kid or a black cop no one would care.|||||@BrwnSkinGirly @CNNVideo there doesnt have to be money stolen/ just stolen itemsto be a robbery, they said it is robbery bc the use of force|||||@KoszikMeows @CNNVideo then why accuse him of a robbery if thats not why they killed him? Whats the point of bringing it up..|||||@KoszikMeows @CNNVideo to make him he look like a thug ? 😴|||||@KoszikMeows @CNNVideo to make him look like the bad guy.. Since there is no real reason for why they did it.|||||@KoszikMeows @CNNVideo rather he was orange , purple or grey they  dead ass wrong ... If it were your relative u would feel different .|||||@BrwnSkinGirly  Yes which from the video, he looks like thug. They are trying to make it seem like he could have done something to the cop|||||@BrwnSkinGirly @KoszikMeows @CNNVideo It was to show his mentality. To prove that he isn't as innocent as anyone thought he was.|||||@KoszikMeows oh please even if he jacked the cop up they have other weapons besides a gun|||||@BrwnSkinGirly the cop shouldnt have shot him. but just because he was black people care. people kill each other everyday because someone|||||@jarrodrossi @CNNVideo the picture isnt clear that could be anybody|||||@BrwnSkinGirly stepped in the wrong part of town, but just because cop shot someone its bad. get over it.|||||@Jason__G99 @KoszikMeows @CNNVideo exactly|||||@BrwnSkinGirly So if someone was coming at you and beating the fuck out of you threating your life, you wouldnt shoot them if you could?|||||@KoszikMeows he had no reason to shoot an unarmed person u sound ignorant 😴 enjoy ya day✌️|||||@BrwnSkinGirly @CNNVideo thats not what i was referring to, i was just saying it doesnt have to be money to be a robbery|||||@BrwnSkinGirly Fists are weapons, he could have done anything at anytime he did what he thought was right he has a family to go home to|||||@KoszikMeows if i were a cop &amp; he was unarmed ummm hello .. So he must've left his taser in the car ... ?|||||@BrwnSkinGirly he felt threatened so he took action, not saying hes in the right but that what happen|||||@BrwnSkinGirly the cop didnt know he was un armed he could have pulled out a gun and killed him, if he tazed him he could shot the cop.|||||@BrwnSkinGirly @CNNVideo yeah they faked the video LOL@your racist denial|||||“@PublicOffendor: @BrwnSkinGirly @CNNVideo yeah they faked the video LOL@your racist denial” oh please😴|||||@BrwnSkinGirly @CNNVideo even going extreme length to hire an actor that looks like Michael brown! Not saying murder was justified, it's not|||||@BrwnSkinGirly @CNNVideo did you see the video?do you think the police faked the video? are you saying this ISNT Michael brown??please|||||@Phillippman @CNNVideo i agree|||||@PublicOffendor @CNNVideo did I say it was fake u , are u stupid or dumb? I said why show it now... 😒|||||@BrwnSkinGirly @CNNVideo that being said, even if he committed the most awful crime on planet earth, he DID surrender. No reason to be shot.|||||@Phillippman @CNNVideo thankyou exactly my point|||||@BrwnSkinGirly @CNNVideo no need to thank im with u that stealing a 80cnt cigar shouldnt trump a kid who had a future. We all do stupid shit|||||@BrwnSkinGirly @CNNVideo what about the FBI|||||@Phillippman @BrwnSkinGirly @CNNVideo this is just the beginning of the information!!!|||||“@usmc1872: @BrwnSkinGirly @CNNVideo what about the FBI”👀|||||@usmc1872 @BrwnSkinGirly @CNNVideo no offense 2 u sir but unless he was reaching 4 a gun then there was no reason for this to happen|||||@BrwnSkinGirly @CNNVideo do they count as part of the stupid LEO because their part of this investigation too. Video doesn't lie|||||@Phillippman @BrwnSkinGirly @CNNVideo no offense taken sir and normally I would agree with you but their is more to this story.|||||@kingpin7666 @CNNVideo you missed the part where he reaches in and takes these cigars? Passes them to his friend and takes some him self.POS|||||@robert10826 @CNNVideo again he could have paid for them|||||@BrwnSkinGirly @KoszikMeows @CNNVideo #MichaelBrown He struggled with a cop and went for his gun - that's what got his a$$ killed|||||@BrwnSkinGirly @CNNVideo #idiot|||||@BrwnSkinGirly @CNNVideo  WHY SHOW IT NOW???? because it is relevant you buffoon
213	1,1,3,3,1,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3	How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson|||||How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson|||||@zellieimani @jasiri_x Charlie Sheen shot one of his wives and went on to be one of the highest paid actors on TV.|||||@zellieimani @jasiri_x Can u say Lindsey Lohan?? Go ahead say her name 3x.. LOL|||||“@zellieimani: How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson” even OJ lol.|||||@zellieimani *raises hand* Oooh Oooh I know, I know!....Um, none.|||||That's the thing they have the money to get away with it you shouldn't even attempt shit if your poor @zellieimani @SwallowThatShit|||||“@zellieimani: How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson” still waiting....|||||@zellieimani White serial killers, cannibals &amp; mass shooters all manage to make it to their trials w/out police violence but not #MikeBrown|||||@zellieimani Not a damn one.|||||@zellieimani only in films. And we're their live entertainment.|||||@zellieimani *Crickets|||||@zellieimani as soon as you physically fight cops and run they can shoot under fleeing felon law|||||“@zellieimani: How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson” #truth|||||@zellieimani I shoplift all the time and I am still alive.|||||@ChocnessMonsta #RacistWhiteSupremacy Is One Helluva Drug.|||||@IAMLANCE Man...|||||@zellieimani Not Winona Ryder. 😐|||||@zellieimani @NewBlackMan Didn't happen to Lindsey Lohan or Winona Ryder.  Lily's unpunished shoplifting was a plot device on HIMYM.|||||@zellieimani @taiping2 don't hold your breath waiting
214	1,1,3,3,3,2,2,3,3,3,3,3,3,3,3,0,3,3,2,3,1,3,3,3,3,3,3,1,1,3,1,3,3,3	Currently the #FoxNews website has zero, repeat, ZERO coverage of the #Ferguson protests, probably due to lack of cowboy hats.|||||Currently the #FoxNews website has zero, repeat, ZERO coverage of the #Ferguson protests, probably due to lack of cowboy hats.|||||@clydetheslyde Shocking... Earlier they had a segment on TV asking if black America would do anything to stop the looting in Ferguson|||||@clydetheslyde get some "don't tread on me" flags and fox will go|||||@clydetheslyde Too busy bitching about POTUS for sure|||||“@clydetheslyde: Currently the #FoxNews website has zero/........as the three wise monkeys commented 'see no evil hear no evil speak no evil|||||@clydetheslyde Na, it's too many black people for #FoxNews to care|||||@clydetheslyde assholes on FOXNEWS are a major reason why stupid cops don't give a damn about d life of young black kids|||||@clydetheslyde Thanks 4 going where many of us don't care to wonder ✌️. No surprises, but really no articles "he ran at my car really fast."|||||@clydetheslyde Their cameras can't focus on brown people.|||||@clydetheslyde @GrooveSDC They don't want their hillbilly viewers to start thinking that the race war has finally started... yet. #FOXNEWS|||||@clydetheslyde @mchenthompson  Isn't this the truth!|||||.@clydetheslyde It's the lack of property damage. On Fox, it's property&gt;people|||||@clydetheslyde or no missing pretty blonde white girl.|||||@clydetheslyde you have the right to remain silent but isn't that how we ended up here? #Ferguson|||||@clydetheslyde My column: AN EXECUTION IN FERGUSON:  #ferguson #michaelbrown #policebrutality|||||@clydetheslyde @SacJim2012 won't release the name of the cop who did the shooting &amp; have not spoke to the witnesses..#BuyingTime|||||@clydetheslyde @SacJim2012 they have already f'd themselves..all the #different accounts of what happened..#dirtyTruth will come to light..|||||@my2bits4u @DMeralles @clydetheslyde|||||@graceslick77 @clydetheslyde Buying Time to Protect a Racist..Murdering Cop.. #Sick #Coward|||||@SacJim2012 @clydetheslyde I know that's right..hoping to god #Someone captured on phone +hasn't came forward -yet..(video/shooting)|||||@graceslick77 @clydetheslyde If we don't Jail these Rogue..Racist Cops they won't Stop Killing young Unarmed Black Men.. #Sick|||||@SacJim2012 @clydetheslyde I was raised by a hater; + knew very wrong-always.But it baffles me w #Diversity in creation y ppl hate rt race..|||||@graceslick77 @clydetheslyde #HatersHate and #LiarsLie|||||@my2bits4u @clydetheslyde so tragic!|||||@clydetheslyde @mylifeishid #MikeBrown would need to be shot in #Benghazi  for #foxnews to cover it|||||@mechphree @mylifeishid Nicely played, sir!|||||@mechphree @clydetheslyde @mylifeishid FOX HAS BECOME A REPUBLICAN POLITICIANS INFOMERCIAL,&amp; ISN'T REALLY INTERESTED IN REAL NEWS,BOYCOTT !|||||@clydetheslyde @moiskd Imagine if Ferguson folks were strutting around with AR's. Think Perry&amp;Hannity would be hunkered down in solidarity?|||||@clydetheslyde Your tweet really makes this page stronger:|||||@clydetheslyde @Madaza41 I remember the same type of coverage when we invaded Iraq. Boots on the ground?  Cont...|||||@clydetheslyde @Madaza41 Boots on the ground? Who cares! We need more coverage of Brittney Spears' blobs!|||||@mechphree @clydetheslyde @mylifeishid or be white. Or old and white. Or an old, rich and white Senator.|||||@clydetheslyde Good to know but exactly what is to be expected.
215	1,3,3,3,3,3,3,3,3	The soldier shot dead in Wednesday's Ottawa attacks has been named as Cpl. Nathan Cirillo of #HamOnt #ottawashooting|||||@Canoe @calgarysun God Bless|||||@Canoe @ottawasuncom  that   so sad    pay    go out  his  family|||||@Canoe @ottawasuncom Honour and respect to this Soldier,  this Warrior. ...|||||@Canoe @ottawasuncom My heart is broken!  #notinvain|||||@Canoe @ottawasuncom Rest in peace. An innocent life taken so tragically. In our hearts and prayers.|||||@Canoe @ottawasuncom he even looks like a boss|||||@Canoe @ottawasuncom  my condolences go out to your family|||||@Canoe @ottawasuncom My heart is broken...I am so so sorry..Nathan..God Speed Hero.
216	1,1,3,0,3	Ottawa Police report a third shooting at Rideau Centre, no reports of injuries.|||||“@newhot899: Ottawa Police report a third shooting at Rideau Centre, no reports of injuries.” Wtf is happening 😭😭😭|||||@newhot899 your news coverage is all over the place and making it sound like there are hundreds of shootings happening. Please be carful.|||||@newhot899 "Ottawa Police report a third shooting at Rideau Centre, no reports of injuries." Hoping everyone stays safe &lt;3|||||@newhot899 near, NEAR the Rideau Centre
217	1,1,1,1,1,3,3	Attack on Parliament: Soldier shot; gunman on the loose. Follow our developing story:|||||Soldier shot, shooter still at large MT @globeandmail: Attack on Parliament: Follow our developing story|||||“@globeandmail: Attack on Parliament: Soldier shot; gunman on the loose.  " Not a good week to be a Can soldier :-(|||||“@globeandmail: Attack on Parliament: Soldier shot; gunman on the loose:  ”|||||“@globeandmail: Attack on Parliament: Soldier shot; gunman on the loose.” Thinking of everyone back home.|||||@globeandmail R.I.P🙏|||||@globeandmail Please remove this picture of Cpl Nathan Cirillo. Let's show this hero some dignity and the respect he deserves!!
218	1,1,3,1,3,0,3,3,3,1,1,1,3,3,1,3,3,3,3,3	Watch video showing gunfire inside Canada's parliament in Ottawa|||||Super scary “@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa  ”|||||@BBCBreaking The Religion of Peace I am guessing.|||||“@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa  ”Omg!|||||@BBCBreaking @BBCWorld @cnnbrk @cnn @CNN @CBCNews It was eminent for Canada being safe haven &amp; a sanctuary for these jihadis &amp; terrorists|||||Now what! “@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa  ”|||||@BBCBreaking Why are the enforcement folks not wearing bullet proof helmets, while they wear bullet proof vests?|||||@BBCBreaking cr@p, now for even more security.. what moron decided was a good thing to do? No, don't give him the publicity by telling us!!|||||@Teknofish @BBCBreaking shooting randomly at defenseless ppl ...I'm would bet on it ..|||||“@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa  ”|||||“@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa  ” WTF 😳|||||@BBCBreaking @BBCWorld 2-3 means are controlling the whole police haha|||||“@BBCBreaking:  gunfire inside Canada's parliament in Ottawa  ” @hughieb79 Tim Martin??|||||@danlouth90 @BBCBreaking definitely tank top. Chuck key ......use it.|||||@BBCBreaking @TheMattB81 this is crazy...|||||🚨🚨😳 “@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa  ”|||||@Teknofish @BBCBreaking u dumb fuck before u open ur mouth u should get ur fact ta straight.. isn't it funny that it was white guy?|||||@FlemosKing @BBCBreaking Hey ill give you one.   Ill take the other dozen.|||||@FlemosKing @BBCBreaking WHOOPS - Angry man looka silly on the internet."Ottawa suspect was 'Canadian convert to Islam'"|||||@FlemosKing @BBCBreaking HAHAHA hes a muslim.   Fucktard
